equipo,year,pts,pj,pg,pe,pp,gf,gc
"El Nacional","Deportivo Cuenca","1","1","2020"
"Emelec","Aucas","4","0","2020"
"CD Olmedo","Orense SC","2","2","2020"
"LDU de Quito","Barcelona SC","2","1","2020"
"River Plate Ecuador","Macará","1","1","2020"
"Independiente","Universidad Católica","2","2","2020"
"LDU Portoviejo","Delfin SC","2","1","2020"
"Técnico Universitario","Mushuc Runa SC","1","1","2020"
"Deportivo Cuenca","Universidad Católica","1","2","2020"
"Independiente","CD Olmedo","1","2","2020"
"Aucas","Mushuc Runa SC","3","0","2020"
"Barcelona SC","LDU Portoviejo","1","1","2020"
"Macará","Emelec","1","0","2020"
"Orense SC","River Plate Ecuador","1","0","2020"
"El Nacional","LDU de Quito","0","3","2020"
"Técnico Universitario","Aucas","2","0","2020"
"Universidad Católica","Orense SC","4","0","2020"
"Mushuc Runa SC","El Nacional","1","1","2020"
"Emelec","River Plate Ecuador","1","2","2020"
"LDU Portoviejo","Deportivo Cuenca","2","4","2020"
"LDU de Quito","Independiente","2","3","2020"
"CD Olmedo","Macará","1","2","2020"
"Delfin SC","Barcelona SC","1","2","2020"
"River Plate Ecuador","CD Olmedo","4","1","2020"
"El Nacional","LDU Portoviejo","2","1","2020"
"Macará","Universidad Católica","1","1","2020"
"Barcelona SC","Técnico Universitario","0","0","2020"
"Orense SC","Emelec","2","2","2020"
"Aucas","Delfin SC","1","2","2020"
"Deportivo Cuenca","LDU de Quito","1","2","2020"
"Independiente","Mushuc Runa SC","2","1","2020"
"LDU de Quito","Delfin SC","0","0","2019"
"LDU de Quito","Aucas","0","0","2019"
"Macará","Delfin SC","1","1","2019"
"Delfin SC","Macará","2","1","2019"
"Aucas","LDU de Quito","1","3","2019"
"Macará","Emelec","1","2","2019"
"Delfin SC","Independiente","2","2","2019"
"Barcelona SC","Aucas","0","0","2019"
"Universidad Católica","LDU de Quito","0","2","2019"
"Independiente","Delfin SC","0","0","2019"
"LDU de Quito","Universidad Católica","2","3","2019"
"Emelec","Macará","1","2","2019"
"Aucas","Barcelona SC","1","0","2019"
"CD Olmedo","Barcelona SC","1","2","2019"
"Macará","El Nacional","0","1","2019"
"Emelec","Mushuc Runa SC","6","1","2019"
"River Plate Ecuador","Deportivo Cuenca","1","2","2019"
"CD America de Quito","Universidad Católica","1","0","2019"
"Técnico Universitario","Aucas","3","2","2019"
"LDU de Quito","Fuerza Amarilla SC","5","2","2019"
"Barcelona SC","Técnico Universitario","0","1","2019"
"Mushuc Runa SC","CD Olmedo","1","4","2019"
"Deportivo Cuenca","LDU de Quito","1","0","2019"
"Delfin SC","CD America de Quito","2","1","2019"
"Fuerza Amarilla SC","Macará","0","3","2019"
"Universidad Católica","Emelec","1","1","2019"
"Aucas","River Plate Ecuador","4","2","2019"
"El Nacional","Independiente","4","2","2019"
"CD Olmedo","Independiente","1","0","2019"
"Técnico Universitario","Mushuc Runa SC","3","0","2019"
"LDU de Quito","Delfin SC","1","1","2019"
"Macará","Deportivo Cuenca","1","1","2019"
"CD Olmedo","Universidad Católica","0","0","2019"
"River Plate Ecuador","El Nacional","0","1","2019"
"Independiente","Aucas","4","0","2019"
"Independiente","LDU de Quito","0","1","2019"
"El Nacional","CD America de Quito","0","1","2019"
"Emelec","CD Olmedo","3","1","2019"
"River Plate Ecuador","Barcelona SC","0","2","2019"
"Mushuc Runa SC","Universidad Católica","1","1","2019"
"Aucas","Macará","0","0","2019"
"Deportivo Cuenca","Fuerza Amarilla SC","3","0","2019"
"Universidad Católica","Deportivo Cuenca","2","0","2019"
"LDU de Quito","Mushuc Runa SC","4","0","2019"
"Barcelona SC","Aucas","2","1","2019"
"Fuerza Amarilla SC","El Nacional","0","4","2019"
"Técnico Universitario","River Plate Ecuador","4","4","2019"
"CD America de Quito","Emelec","1","2","2019"
"El Nacional","Técnico Universitario","1","2","2019"
"Emelec","LDU de Quito","1","1","2019"
"River Plate Ecuador","Universidad Católica","2","1","2019"
"Aucas","CD America de Quito","3","0","2019"
"Delfin SC","Barcelona SC","1","2","2019"
"Deportivo Cuenca","CD Olmedo","2","1","2019"
"Mushuc Runa SC","Fuerza Amarilla SC","3","0","2019"
"Independiente","Macará","0","2","2019"
"Mushuc Runa SC","Macará","1","1","2019"
"LDU de Quito","El Nacional","2","0","2019"
"CD Olmedo","Delfin SC","2","2","2019"
"Emelec","River Plate Ecuador","2","1","2019"
"Universidad Católica","Independiente","0","1","2019"
"Fuerza Amarilla SC","Aucas","3","3","2019"
"CD America de Quito","Técnico Universitario","2","0","2019"
"Deportivo Cuenca","Barcelona SC","1","1","2019"
